Facility ID,Score,Footnote,hosp_name,state,zipcode,hosp_type,hosp_ownership,hosp_emergency_services,hosp_rating,hosp_rating_fn
010001,1.01,,SOUTHEAST ALABAMA MEDICAL CENTER,AL,36301,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,
010005,1.01,,MARSHALL MEDICAL CENTERS,AL,35957,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,
010006,0.98,,NORTH ALABAMA MEDICAL CENTER,AL,35630,Acute Care Hospitals,Proprietary,Yes,2,
010007,1.10,,MIZELL MEMORIAL HOSPITAL,AL,36467,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,
010008,0.99,,CRENSHAW COMMUNITY HOSPITAL,AL,36049,Acute Care Hospitals,Proprietary,Yes,4,
010011,1.04,,ST. VINCENT'S EAST,AL,35235,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,
010012,1.02,,DEKALB REGIONAL MEDICAL CENTER,AL,35968,Acute Care Hospitals,Proprietary,Yes,2,
010016,1.02,,SHELBY BAPTIST MEDICAL CENTER,AL,35007,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,
010018,1.02,,CALLAHAN EYE HOSPITAL,AL,35233,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,16.0
010019,1.05,,HELEN KELLER HOSPITAL,AL,35660,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,
010021,0.98,,DALE MEDICAL CENTER,AL,36360,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,
010022,1.08,,CHEROKEE MEDICAL CENTER,AL,35960,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,16.0
010023,1.04,,BAPTIST MEDICAL CENTER SOUTH,AL,36116,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,
010024,1.05,,JACKSON HOSPITAL & CLINIC INC,AL,36106,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,
010029,0.94,,EAST ALABAMA MEDICAL CENTER AND SNF,AL,36801,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,
010033,0.98,,UNIVERSITY OF ALABAMA HOSPITAL,AL,35233,Acute Care Hospitals,Government - State,Yes,2,
010034,0.90,,COMMUNITY HOSPITAL INC,AL,36078,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,
010035,1.00,,CULLMAN REGIONAL MEDICAL CENTER,AL,35058,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,
010036,0.96,,ANDALUSIA HEALTH,AL,36420,Acute Care Hospitals,Proprietary,Yes,4,
010038,1.00,,STRINGFELLOW MEMORIAL HOSPITAL,AL,36201,Acute Care Hospitals,Proprietary,Yes,2,
010039,1.01,,HUNTSVILLE HOSPITAL,AL,35801,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,
010040,1.06,,GADSDEN REGIONAL MEDICAL CENTER,AL,35903,Acute Care Hospitals,Proprietary,Yes,2,
010044,0.87,,MARION REGIONAL MEDICAL CENTER,AL,35570,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,
010045,1.03,,FAYETTE MEDICAL CENTER,AL,35555,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5,
010046,0.97,,RIVERVIEW REGIONAL MEDICAL CENTER,AL,35901,Acute Care Hospitals,Proprietary,Yes,4,
010049,1.02,,MEDICAL CENTER ENTERPRISE,AL,36330,Acute Care Hospitals,Proprietary,Yes,4,
010051,0.91,,GREENE COUNTY HOSPITAL,AL,35462,Acute Care Hospitals,Government - Local,Yes,Not Available,16.0
010052,0.91,,LAKE MARTIN COMMUNITY HOSPITAL,AL,36853,Acute Care Hospitals,Proprietary,Yes,3,
010055,1.02,,FLOWERS HOSPITAL,AL,36305,Acute Care Hospitals,Proprietary,Yes,3,
010056,1.04,,ST VINCENT'S BIRMINGHAM,AL,35205,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,
010058,1.04,,BIBB MEDICAL CENTER,AL,35042,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,
010059,0.86,,LAWRENCE MEDICAL CENTER,AL,35650,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,
010061,0.94,,HIGHLANDS MEDICAL CENTER,AL,35768,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,
010062,0.99,,WIREGRASS MEDICAL CENTER,AL,36340,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,
010065,0.95,,RUSSELL MEDICAL CENTER,AL,35010,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,
